"Manage Reminders","Administrar recordatorios"
Send,Enviar
"Edit Reminder '%1'","Editar recordatorio '%1'"
"Reminder Information","Información de recordatorio"
"Customer Name","Nombre del cliente"
"Customer Email","Correo electrónico del cliente"
"Review Status","Estado de la revisión"
"Order Products","Productos de pedido"
Run,Ejecutar
"Reminder was deleted.","Se eliminó Recordatorio."
"Can't find a reminder to delete.","No se puede encontrar un recordatorio para eliminar."
"Review Reminders","Revisar recordatorios"
"This reminder no longer exists.","Este recordatorio ya no existe."
"Edit Reminder","Editar recordatorio"
"Please select store view(s)","Seleccione la(s) vista(s) de la(s) tienda(s)"
"Please enter correct date in YYYY-MM-DD format","Introduzca la fecha correcta en formato AAAA-MM-DD"
"Please select item(s).","Seleccione los elementos."
"Something went wrong while sending the reminder.","Algo salió mal al enviar el recordatorio."
"A total of %1 reminders have been sent.","Se han enviado un total de %1 recordatorios."
"A total of %1 record(s) have been changed.","Se ha cambiado un total de %1 registros."
"Reminder has been saved.","El recordatorio se ha guardado."
"Something went wrong while saving the reminder.","Algo salió mal mientras guardaba el recordatorio."
"Reminder has been sent.","Se ha enviado un recordatorio."
"Unable to find a reminder to send.","No se puede encontrar un recordatorio para enviar."
"Last year","El año pasado"
"Last month","El mes pasado"
"Last week","La semana pasada"
"From custom date","A partir de la fecha personalizada"
"Not reviewed","No revisado"
Reviewed,Revisado
"Customer not found","Cliente no encontrado"
"Write review","Escribir opinión"
Hello,Hola
"You\'ve recently bought %products_list what do you think about it?","Usted 've recientemente comprado %products_list ¿qué te parece?"
"An error occured:",Error:
"Completed. {count} items were processed","Completado. Se procesaron los artículos de la cuenta de recuento"
Success,Éxito
"Review Reminder","Recordatorio de revisión"
"Number of emails to send per cron iteration","Número de correos electrónicos para enviar por iteración cron"
"Default reminder status","Estado de recordatorio predeterminado"
"Email Settings","Configuración de correo electrónico"
"Send email from","Enviar correo electrónico desde"
"Email subject","Asunto del correo electrónico"
"Send email after, days","Enviar correo electrónico después de, días"
"Process orders","Procesar pedidos"
"Consider orders with status","Considere los pedidos con estado"
"Manual orders indexing","Indexación manual de órdenes"
"Index orders created","Pedidos de índice creados"
"Custom date","Fecha personalizada"
"Index orders made in store(s)","Pedidos de índice realizados en store(s)"
"Delete items","Eliminar elementos"
"Send items","Enviar artículos"
"Are you sure you want to send selected reminders?","¿Está seguro de que desea enviar recordatorios seleccionados?"
"Are you sure you want to change selected reminders status?","¿Está seguro de que desea cambiar el estado de los recordatorios seleccionados?"
