Handles,Alças
"Save Banner","Salvar banner"
"Delete Banner","Excluir banner"
"Edit Banner - '%1'","Editar banner - '%1'"
"New Banner","Novo banner"
"Css Class","Classe Css"
"Image Options","Opções de imagem"
"Use image resizer","Usar redimensionador de imagem"
"Retina support","Suporte de retina"
"Actual image size should be twice larger then entered width and height","O tamanho real da imagem deve ser duas vezes maior que a largura e a altura inseridas"
"Background Color","Cor de fundo"
"Html Content","Conteúdo HTML"
Banner,Bandeira
Lightbox,Lightbox
Awesomebar,Awesomebar
"Hide Url","Ocultar URL"
Target,Alvo
Popup,Aparecer
Blank,"Em branco"
Self,Auto
"Sort Order","Ordem de classificação"
"Store View","Vista da loja"
Placeholder,Placeholder
Statistics,Estatisticas
"New Placeholder","Novo espaço reservado"
"Banners Display Count","Contagem de exibição de banners"
"Sort mode","Modo de classificação"
"By Banners Sort Order","Por ordem de classificação dos banners"
Random,Aleatória
"Banner was deleted.","O banner foi excluído."
"Banner was disabled.","O banner foi desativado."
EasyBanner,EasyBanner
Banners,Banners
"This banner no longer exists.","Este banner não existe mais."
"Edit Banner","Editar faixa"
"Banner was enabled.","O banner foi ativado."
"Manage Banners","Gerenciar faixas"
"Banner has been saved.","O banner foi salvo."
"Something went wrong while saving the banner.","Ocorreu um erro ao salvar o banner."
"Placeholder was deleted.","O espaço reservado foi excluído."
"Placeholder was disabled.","O espaço reservado foi desativado."
Placeholders,"Espaços reservados"
"This placeholder no longer exists.","Este espaço reservado não existe mais."
"Placeholder was enabled.","O espaço reservado foi ativado."
"Manage Placeholders","Gerenciar espaços reservados"
"Placeholder has been saved.","O espaço reservado foi salvo."
"Something went wrong while saving the placeholder.","Ocorreu um erro ao salvar o espaço reservado."
"Subtotal (Excl.Tax)","Subtotal (sem imposto)"
"Subtotal (Incl.Tax)","Subtotal (IVA Incluído)"
"Clicks Count","Contagem de cliques"
"Display Count","Contagem de exibição"
"Display Count per Customer","Contagem de Display por Cliente"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: tempo de navegação do cliente (segundos)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: tempo de inatividade do cliente (segundos)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: tempo de atividade do cliente (segundos)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: deslocamento da rolagem"
"Open Chooser","Seletor aberto"
%1%1"Last 7 days","Últimos 7 dias"
"Last 30 days","Últimos 30 dias"
"Last 6 Month","Últimos 6 meses"
"Last 12 Month","Últimos 12 meses"
"All Time","Tempo todo"
"Banner Statistics","Estatísticas do banner"
"EasyBanner Banner","EasyBanner Banner"
"Select Banner...","Selecione faixa ..."
"EasyBanner Placeholder","Marcador de posição EasyBanner"
"Select Placeholder...","Selecione Marcador de posição ..."
"Add Banner","Adicionar banner"
"Image Title","Título da Imagem"
"Is Active","Está ativo"
"Add Placeholder","Adicionar espaço reservado"
"Additional CSS Class","Classe CSS adicional"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","Se você deseja mostrar esse espaço reservado em uma barra lateral, é recomendável definir o seguinte valor: block block-easybanner-placeholder"
"Parent Container","Container pai"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","Não sabe o nome do contêiner? Deixe em branco e atribua espaço reservado ao contêiner necessário por meio da interface 'Conteúdo> Widgets'. Você também pode visualizar a lista de posições comuns de espaço reservado em http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
Position,Posição
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","A sintaxe do atributo XML é necessária. Exemplos: before = ""-"", after = ""-"", before = ""block.name"""
"Don't show anymore","Não mostrar mais"
"Exit intent time (seconds)","Tempo de intenção de saída (segundos)"
