"Search results for","Sökresultat för"
Categories,kategorier
"Nothing found","Inget hittat"
"Cms pages",Cms-sidor
Products,Produkter
Price,Pris
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Huvudsaklig
Limit,Begränsa
Highlight,Markera
"Minimal Query Length","Minsta fråga längd"
"Product Suggestions",Produktförslag
Enable,"Gör det möjligt"
"Category Suggestions",Kategoriförslag
"Page Suggestions",Sidförslag
"Popular Search Terms Suggestions","Populära förslag för söktermer"
"Show on Focus","Visa på fokus"
"Show popular terms list when focusing empty search field","Visa populära termerlista när du fokuserar det tomma sökfältet"
"Form Layout",Formlayout
"Default - Initially visible form","Standard - Ursprungligen synlig form"
"Icon only - Fullscreen form","Endast ikon - Fullskärmsform"
"Icon only - Minimalistic form","Endast ikon - Minimalistisk form"
"Results Layout",Resultatlayout
