"Search results for","Результати пошуку для"
Categories,Категорії
"Nothing found","Нічого не знайдено"
"Cms pages","Cms сторінки"
Products,Продукти
Price,Ціна
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Основна
Limit,Обмеження
Highlight,Виділіть
"Minimal Query Length","Мінімальна довжина запиту"
"Product Suggestions","Пропозиції щодо товару"
Enable,Увімкнути
"Category Suggestions","Пропозиції щодо категорії"
"Page Suggestions","Пропозиції на сторінці"
"Popular Search Terms Suggestions","Пропозиції щодо популярних пошукових термінів"
"Show on Focus","Показувати на фокусі"
"Show popular terms list when focusing empty search field","Показати список популярних термінів при фокусуванні порожнього поля пошуку"
"Form Layout","Макет форми"
"Default - Initially visible form","За замовчуванням - спочатку видима форма"
"Icon only - Fullscreen form","Лише піктограма - Повна екранна форма"
"Icon only - Minimalistic form","Тільки ікона - мінімалістична форма"
"Results Layout","Макет результатів"
