Homepage,"الصفحة الرئيسية"
"Product Page","صفحة المنتج"
"Category Page","صفحة الفئة"
"Cms Pages","صفحات Cms"
"Configure and Buy","تكوين وشراء"
Cart,"عربة التسوق"
"Browse By","التصفح عن طريق"
"Accelerated Mobile Pages","صفحات الجوال المعجلة"
"Persistent browsing","تصفح مستمر"
"Use AMP for all supported pages","استخدم AMP لجميع الصفحات المدعومة"
"Use AMP at","استخدم AMP في"
"Force AMP activation on","فرض تفعيل AMP"
"Mobile devices","أجهزة محمولة"
"Tablet devices","أجهزة الكمبيوتر اللوحي"
"Use full ""Add to Cart"" mode for all supported products","استخدم وضع ""إضافة إلى سلة التسوق"" الكامل لجميع المنتجات المدعومة"
"Use full ""Add to Cart"" mode for","استخدم وضع ""إضافة إلى سلة التسوق"" الكامل لـ"
"Disable Layered Navigation","تعطيل التنقل متعدد الطبقات"
