"Continue Shopping","Fortsätt handla"
Checkout,"Kolla upp"
Added,"Lagt till"
"Add to Cart","Lägg till i kundvagn"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort den här varan från kundvagnen?"
Ajaxpro,Ajaxpro
Main,Huvudsaklig
"Show popup after product was added","Visa popup efter att produkten har lagts till"
"Add to cart dialog window type","Lägg till i kundvagnens dialogfönster"
"Override Minicart Sidebar","Åsidosätt Minicart Sidefält"
"The type of cart dialog window","Typen av vagnens dialogfönster"
"Show floating cart","Visa flytande vagn"
"Show product popup for product with any options","Visa produkt popup för produkt med alternativ"
"Forced validation for ajax request in catalog","Tvingad validering för ajax-begäran i katalogen"
